id,สถานภาพ,วิธีรับเข้า,วุฒิ,คะแนนเฉลี่ยก่อนรับเข้า,จบการศึกษาจาก,หน่วยกิตที่ลงทะเบียน,หน่วยกิตที่ผ่าน,หน่วยกิตของหลักสูตร,คะแนนเฉลี่ยสะสม,GPA 2559/1,GPA 2559/2,GPA 2560/1,GPA 2560/2,GPA 2560/3,GPA 2561/1,GPA 2561/2,GPA 2561/3,GPA 2562/1,GPA 2562/2,GPA 2562/3,GPA 2563/1,GPA 2563/2,GPA 2563/3,GPA 2564/1,GPA 2564/2,GPA 2564/3,GPA 2565/1,GPA 2565/2,GPA 2565/3,GPA 2566/1,GPA 2566/2,GPA 2567/1,GPA 2567/2,GPA 2567/3,GPA 2568/1
46,โอนย้ายคณะ/สาขาวิชา/ภาค,โควตา-เรียนดี,ปวส.,2.81,วิทยาลัยพณิชยการบางนา,97,76,137,1.63,0,1.5,2,2,0,2.08,2.32,2.32,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.67,วิทยาลัยพณิชยการบางนา,140,137,137,3.18,2.66,2.84,2.96,2.95,0,2.96,3.05,3.05,3.01,3.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.65,วิทยาลัยพณิชยการบางนา,137,137,137,3.33,2.19,2.16,2.3,2.16,0,2.13,2.18,2.18,2.17,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.83,วิทยาลัยพณิชยการบางนา,137,137,137,3.63,2.5,2.19,2.33,2.29,0,2.26,2.32,2.32,2.36,2.37,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.74,วิทยาลัยพณิชยการบางนา,137,137,137,3.55,2.22,2.1,2.04,1.96,0,2.02,2.09,2.09,2.26,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.52,วิทยาลัยพณิชยการบางนา,140,137,137,3.2,1.63,1.65,1.61,1.74,0,0,0,0,1.91,1.94,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.46,วิทยาลัยพณิชยการบางนา,140,137,137,2.78,2.34,2.16,2.15,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.78,วิทยาลัยพณิชยการบางนา,137,137,137,3.25,2.27,2.35,2.63,2.61,0,2.69,2.83,2.83,2.82,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.32,วิทยาลัยพณิชยการธนบุรี,143,137,137,2.37,2.42,2.65,2.55,2.56,0,2.61,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.81,วิทยาลัยเทคโนโลยีอรรถวิทย์พณิชยการ,143,140,137,2.89,2.5,2.7,2.73,2.61,0,2.57,2.73,2.73,2.76,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
